index,ruleId,name,category,priority,executionCount,matchCount,matchRate
124,congge-poge,从格破格,破格,140,5000,432,8.64%
125,jia-zhuanwang,假专旺格,专旺格,195,5000,41,0.82%
126,jiaji-huatu,甲己化土格,化气格,192,5000,123,2.46%
127,yigeng-huajin,乙庚化金格,化气格,192,5000,158,3.16%
128,bingxin-huashui,丙辛化水格,化气格,192,5000,159,3.18%
129,dingren-huamu,丁壬化木格,化气格,192,5000,134,2.68%
130,wugui-huahuo,戊癸化火格,化气格,192,5000,129,2.58%
131,hanming-tiaohou,寒命调候格,调候格,175,5000,145,2.90%
132,nuanming-tiaohou,暖命调候格,调候格,175,5000,156,3.12%
133,bingzhong-yaoqing,病重药轻格,病药格,160,5000,1006,20.12%
134,bingyao-xiangji,病药相济格,病药格,160,5000,1514,30.28%
135,guansha-tongguan,官杀通关格,通关格,165,5000,64,1.28%
136,bijie-tongguan,比劫通关格,通关格,165,5000,2448,48.96%
137,zhengguan-poge-hunza,正官破格-官杀混杂,破格,95,5000,101,2.02%
138,cai-poge-hunza,财格破格-财星混杂,破格,88,5000,181,3.62%
139,yin-poge-hunza,印格破格-印星混杂,破格,88,5000,168,3.36%
140,geju-shangdeng,格局上等,格局层次,80,5000,103,2.06%
141,geju-zhongdeng,格局中等,格局层次,70,5000,2031,40.62%
142,geju-xiadeng,格局下等,格局层次,60,5000,1006,20.12%
143,fuyi-fushen,扶抑格-扶身,扶抑格,130,5000,716,14.32%
144,fuyi-yixie,扶抑格-抑泄,扶抑格,130,5000,709,14.18%
145,cong-yin-zhen,真从印格,从格,190,5000,3,0.06%
146,zhuānwàng-gé,专旺格-纯,专旺格,205,5000,39,0.78%
147,qingcun-cai,清纯-财星清,清纯判断,70,5000,796,15.92%
148,geju-wanzhong,格局万终-用神溃散,格局层次,50,5000,488,9.76%
149,default-putong,普通格局,正格,1,5000,5000,100.00%
